WRN 2026-06-04T01:58:11.960 ui.11235   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T01:58:11.960 ui.11235   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T01:58:11.960 ui.11235   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T01:58:11.960 ui.11235   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T01:58:11.960 ui.11235   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T02:02:40.266 ui.2278    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T02:02:40.267 ui.2278    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T02:02:40.267 ui.2278    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T02:02:40.267 ui.2278    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T02:02:40.267 ui.2278    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T02:20:10.724 ui.10157   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T02:20:10.724 ui.10157   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T02:20:10.724 ui.10157   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T02:20:10.724 ui.10157   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T02:20:10.724 ui.10157   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T02:45:22.800 ui.2665    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T02:45:22.800 ui.2665    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T02:45:22.800 ui.2665    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-04T02:45:22.800 ui.2665    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-04T02:45:22.800 ui.2665    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-04T10:07:17.086 ui.6879    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-04T10:07:17.086 ui.6879    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-04T10:07:17.086 ui.6879    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
